马太福音1:1	　亚伯拉罕的后裔，大卫的子孙，耶稣基督的家谱：
约翰福音1:39	　耶稣说：你们来看。他们就去看他在哪里住，这一天便与他同住；那时约有申正了。
约翰福音1:40	　听见约翰的话跟从耶稣的那两个人，一个是西门·彼得的兄弟安得烈。
约翰福音1:41	　他先找着自己的哥哥西门，对他说：我们遇见弥赛亚了。（弥赛亚翻出来就是基督。）
约翰福音1:42	　于是领他去见耶稣。耶稣看着他，说：你是约翰的儿子西门，你要称为矶法。（矶法翻出来就是彼得。）
约翰福音1:43	　又次日，耶稣想要往加利利去，遇见腓力，就对他说：来跟从我吧。
约翰福音1:44	　这腓力是伯赛大人，和安得烈、彼得同城。
约翰福音1:45	　腓力找着拿但业，对他说：摩西在律法上所写的和众先知所记的那一位，我们遇见了，就是约瑟的儿子拿撒勒人耶稣。
约翰福音1:46	　拿但业对他说：拿撒勒还能出什么好的吗？腓力说：你来看！
约翰福音1:47	　耶稣看见拿但业来，就指着他说：看哪，这是个真以色列人，他心里是没有诡诈的。
约翰福音1:48	　拿但业对耶稣说：你从哪里知道我呢？耶稣回答说：腓力还没有招呼你，你在无花果树底下，我就看见你了。
约翰福音1:49	　拿但业说：拉比，你是神的儿子，你是以色列的王！
约翰福音1:50	　耶稣对他说：因为我说在无花果树底下看见你，你就信吗？你将要看见比这更大的事。
约翰福音1:51	　又说：我实实在在地告诉你们，你们将要看见天开了，神的使者上去下来在人子身上。
约翰福音2:1	　第三日，在加利利的迦拿有娶亲的筵席，耶稣的母亲在那里。
约翰福音2:2	　耶稣和他的门徒也被请去赴席。
约翰福音2:3	　酒用尽了，耶稣的母亲对他说：他们没有酒了。
约翰福音2:4	　耶稣说：母亲，我与你有什么相干？我的时候还没有到。
约翰福音2:5	　他母亲对用人说：他告诉你们什么，你们就做什么。
约翰福音2:6	　照犹太人洁净的规矩，有六口石缸摆在那里，每口可以盛两三桶水。
约翰福音2:7	　耶稣对用人说：把缸倒满了水。他们就倒满了，直到缸口。
约翰福音2:8	　耶稣又说：现在可以舀出来，送给管筵席的。他们就送了去。
约翰福音2:9	　管筵席的尝了那水变的酒，并不知道是哪里来的，只有舀水的用人知道。管筵席的便叫新郎来，
约翰福音2:10	　对他说：人都是先摆上好酒，等客喝足了，才摆上次的，你倒把好酒留到如今！
约翰福音2:11	　这是耶稣所行的头一件神迹，是在加利利的迦拿行的，显出他的荣耀来；他的门徒就信他了。
约翰福音2:12	　这事以后，耶稣与他的母亲、弟兄和门徒都下迦百农去，在那里住了不多几日。
约翰福音2:13	　犹太人的逾越节近了，耶稣就上耶路撒冷去。
约翰福音2:14	　看见殿里有卖牛、羊、鸽子的，并有兑换银钱的人坐在那里，
约翰福音2:15	　耶稣就拿绳子做成鞭子，把牛羊都赶出殿去，倒出兑换银钱之人的银钱，推翻他们的桌子。
约翰福音2:16	　又对卖鸽子的说：把这些东西拿去！不要将我父的殿当作买卖的地方。
约翰福音2:17	　他的门徒就想起经上记着说：我为你的殿心里焦急，如同火烧。
约翰福音2:18	　因此犹太人问他说：你既做这些事，还显什么神迹给我们看呢？
约翰福音2:19	　耶稣回答说：你们拆毁这殿，我三日内要再建立起来。
约翰福音2:20	　犹太人便说：这殿是四十六年才造成的，你三日内就再建立起来吗？
约翰福音2:21	　但耶稣这话是以他的身体为殿。
约翰福音2:22	　所以到他从死里复活以后，门徒就想起他说过这话，便信了圣经和耶稣所说的。
约翰福音2:23	　当耶稣在耶路撒冷过逾越节的时候，有许多人看见他所行的神迹，就信了他的名。
约翰福音2:24	　耶稣却不将自己交托他们；因为他知道万人，
约翰福音2:25	　也用不着谁见证人怎样，因他知道人心里所存的。
约翰福音3:1	　有一个法利赛人，名叫尼哥德慕，是犹太人的官。
约翰福音3:2	　这人夜里来见耶稣，说：拉比，我们知道你是由神那里来作师傅的；因为你所行的神迹，若没有神同在，无人能行。
约翰福音3:3	　耶稣回答说：我实实在在地告诉你，人若不重生，就不能见神的国。
约翰福音3:4	　尼哥德慕说：人已经老了，如何能重生呢？岂能再进母腹生出来吗？
约翰福音3:5	　耶稣说：我实实在在地告诉你，人若不是从水和圣灵生的，就不能进神的国。
约翰福音3:6	　从肉身生的就是肉身；从灵生的就是灵。
约翰福音3:7	　我说你们必须重生，你不要以为希奇。
约翰福音3:8	　风随着意思吹，你听见风的响声，却不晓得从哪里来，往哪里去；凡从圣灵生的，也是如此。
约翰福音3:9	　尼哥德慕问他说：怎能有这事呢？
约翰福音3:10	　耶稣回答说：你是以色列人的先生，还不明白这事吗？
约翰福音3:11	　我实实在在地告诉你，我们所说的是我们知道的；我们所见证的是我们见过的；你们却不领受我们的见证。
约翰福音3:12	　我对你们说地上的事，你们尚且不信，若说天上的事，如何能信呢？
约翰福音3:13	　除了从天降下，仍旧在天的人子，没有人升过天。
约翰福音3:14	　摩西在旷野怎样举蛇，人子也必照样被举起来，
约翰福音3:15	　叫一切信他的都得永生。
约翰福音3:16	　神爱世人，甚至将他的独生子赐给他们，叫一切信他的，不致灭亡，反得永生。
约翰福音3:17	　因为神差他的儿子降世，不是要定世人的罪，乃是要叫世人因他得救。
约翰福音3:18	　信他的人，不被定罪；不信的人，罪已经定了，因为他不信神独生子的名。
约翰福音3:19	　光来到世间，世人因自己的行为是恶的，不爱光，倒爱黑暗，定他们的罪就是在此。
约翰福音3:20	　凡作恶的便恨光，并不来就光，恐怕他的行为受责备。
约翰福音3:21	　但行真理的必来就光，要显明他所行的是靠神而行。
约翰福音3:22	　这事以后，耶稣和门徒到了犹太地，在那里居住，施洗。
约翰福音3:23	　约翰在靠近撒冷的哀嫩也施洗；因为那里水多，众人都去受洗。
约翰福音3:24	　那时约翰还没有下在监里。
约翰福音3:25	　约翰的门徒和一个犹太人辩论洁净的礼，
约翰福音3:26	　就来见约翰，说：拉比，从前同你在约旦河外，你所见证的那位，现在施洗，众人都往他那里去了。
约翰福音3:27	　约翰说：若不是从天上赐的，人就不能得什么。
约翰福音3:28	　我曾说：我不是基督，是奉差遣在他前面的。你们自己可以给我作见证。
约翰福音3:29	　娶新妇的就是新郎；新郎的朋友站着，听见新郎的声音就甚喜乐。故此，我这喜乐满足了。
约翰福音3:30	　他必兴旺，我必衰微。
约翰福音3:31	　从天上来的，是在万有之上；从地上来的，是属乎地。他所说的，也是属乎地。从天上来的，是在万有之上。
约翰福音3:32	　他将所见所闻的见证出来，只是没有人领受他的见证。
约翰福音3:33	　那领受他见证的，就印上印，证明神是真的。
约翰福音3:34	　神所差来的，就说神的话，因为神赐圣灵给他是没有限量的。
约翰福音3:35	　父爱子，已将万有交在他手里。
约翰福音3:36	　信子的人有永生，不信子的人得不着永生，神的震怒常在他身上。
约翰福音4:1	　主知道法利赛人听见他收门徒、施洗，比约翰还多
约翰福音4:2	　（其实不是耶稣亲自施洗，乃是他的门徒施洗），
约翰福音4:3	　他就离了犹太，又往加利利去。
约翰福音4:4	　必须经过撒马利亚，
约翰福音4:5	　于是到了撒马利亚的一座城，名叫叙加，靠近雅各给他儿子约瑟的那块地。
约翰福音4:6	　在那里有雅各井；耶稣因走路困乏，就坐在井旁。那时约有午正。
约翰福音4:7	　有一个撒马利亚的妇人来打水。耶稣对她说：请你给我水喝。
约翰福音4:8	　那时门徒进城买食物去了。
约翰福音4:9	　撒马利亚的妇人对他说：你既是犹太人，怎么向我一个撒马利亚妇人要水喝呢？原来犹太人和撒马利亚人没有来往。
约翰福音4:10	　耶稣回答说：你若知道神的恩赐，和对你说给我水喝的是谁，你必早求他，他也必早给了你活水。
约翰福音4:11	　妇人说：先生，没有打水的器具，井又深，你从哪里得活水呢？
约翰福音4:12	　我们的祖宗雅各将这井留给我们，他自己和儿子并牲畜也都喝这井里的水，难道你比他还大吗？
约翰福音4:13	　耶稣回答说：凡喝这水的还要再渴；
约翰福音4:14	　人若喝我所赐的水就永远不渴。我所赐的水要在他里头成为泉源，直涌到永生。
约翰福音4:15	　妇人说：先生，请把这水赐给我，叫我不渴，也不用来这么远打水。
约翰福音4:16	　耶稣说：你去叫你丈夫也到这里来。
约翰福音4:17	　妇人说：我没有丈夫。耶稣说：你说没有丈夫是不错的。
约翰福音4:18	　你已经有五个丈夫，你现在有的并不是你的丈夫。你这话是真的。
约翰福音4:19	　妇人说：先生，我看出你是先知。
约翰福音4:20	　我们的祖宗在这山上礼拜，你们倒说，应当礼拜的地方是在耶路撒冷。
约翰福音4:21	　耶稣说：妇人，你当信我。时候将到，你们拜父，也不在这山上，也不在耶路撒冷。
约翰福音4:22	　你们所拜的，你们不知道；我们所拜的，我们知道，因为救恩是从犹太人出来的。
约翰福音4:23	　时候将到，如今就是了，那真正拜父的，要用心灵和诚实拜他，因为父要这样的人拜他。
约翰福音4:24	　神是个灵，所以拜他的必须用心灵和诚实拜他。
约翰福音4:25	　妇人说：我知道弥赛亚（就是那称为基督的）要来；他来了，必将一切的事都告诉我们。
约翰福音4:26	　耶稣说：这和你说话的就是他！
约翰福音4:27	　当下门徒回来，就希奇耶稣和一个妇人说话；只是没有人说：你是要什么？或说：你为什么和她说话？
约翰福音4:28	　那妇人就留下水罐子，往城里去，对众人说：
约翰福音4:29	　你们来看！有一个人将我素来所行的一切事都给我说出来了，莫非这就是基督吗？
约翰福音4:30	　众人就出城，往耶稣那里去。
约翰福音4:31	　这其间，门徒对耶稣说：拉比，请吃。
约翰福音4:32	　耶稣说：我有食物吃，是你们不知道的。
约翰福音4:33	　门徒就彼此对问说：莫非有人拿什么给他吃吗？
约翰福音4:34	　耶稣说：我的食物就是遵行差我来者的旨意，做成他的工。
约翰福音4:35	　你们岂不说，到收割的时候还有四个月吗？我告诉你们，举目向田观看，庄稼已经熟了，可以收割了。
约翰福音4:36	　收割的人得工价，积蓄五谷到永生，叫撒种的和收割的一同快乐。
约翰福音4:37	　俗语说：那人撒种，这人收割。这话可见是真的。
约翰福音4:38	　我差你们去收你们所没有劳苦的；别人劳苦，你们享受他们所劳苦的。
约翰福音4:39	　那城里有好些撒马利亚人信了耶稣，因为那妇人作见证说：他将我素来所行的一切事都给我说出来了。
约翰福音4:40	　于是撒马利亚人来见耶稣，求他在他们那里住下，他便在那里住了两天。
约翰福音4:41	　因耶稣的话，信的人就更多了，
约翰福音4:42	　便对妇人说：现在我们信，不是因为你的话，是我们亲自听见了，知道这真是救世主。
约翰福音4:43	　过了那两天，耶稣离了那地方，往加利利去。
约翰福音4:44	　因为耶稣自己作过见证说：先知在本地是没有人尊敬的。
约翰福音4:45	　到了加利利，加利利人既然看见他在耶路撒冷过节所行的一切事，就接待他，因为他们也是上去过节。
约翰福音4:46	　耶稣又到了加利利的迦拿，就是他从前变水为酒的地方。有一个大臣，他的儿子在迦百农患病。
约翰福音4:47	　他听见耶稣从犹太到了加利利，就来见他，求他下去医治他的儿子，因为他儿子快要死了。
约翰福音4:48	　耶稣就对他说：若不看见神迹奇事，你们总是不信。
约翰福音4:49	　那大臣说：先生，求你趁着我的孩子还没有死就下去。
约翰福音4:50	　耶稣对他说：回去吧，你的儿子活了！那人信耶稣所说的话，就回去了。
约翰福音4:51	　正下去的时候，他的仆人迎见他，说他的儿子活了。
约翰福音4:52	　他就问什么时候见好的。他们说：昨日未时热就退了。
约翰福音4:53	　他便知道这正是耶稣对他说，你儿子活了的时候；他自己和全家就都信了。
约翰福音4:54	　这是耶稣在加利利行的第二件神迹，是他从犹太回去以后行的。
约翰福音5:1	　这事以后，到了犹太人的一个节期，耶稣就上耶路撒冷去。
约翰福音5:2	　在耶路撒冷，靠近羊门有一个池子，希伯来话叫作毕士大，旁边有五个廊子；
约翰福音5:3	-4　里面躺着瞎眼的、瘸腿的、血气枯干的许多病人。
约翰福音5:5	　在那里有一个人，病了三十八年。
约翰福音5:6	　耶稣看见他躺着，知道他病了许久，就问他说：你要痊愈吗？
约翰福音5:7	　病人回答说：先生，水动的时候，没有人把我放在池子里；我正去的时候，就有别人比我先下去。
约翰福音5:8	　耶稣对他说：起来，拿你的褥子走吧！
约翰福音5:9	　那人立刻痊愈，就拿起褥子来走了。
约翰福音5:10	　那天是安息日，所以犹太人对那医好的人说：今天是安息日，你拿褥子是不可的。
约翰福音5:11	　他却回答说：那使我痊愈的对我说：拿你的褥子走吧！
约翰福音5:12	　他们问他说：对你说拿褥子走的是什么人？
约翰福音5:13	　那医好的人不知道是谁；因为那里的人多，耶稣已经躲开了。
约翰福音5:14	　后来耶稣在殿里遇见他，对他说：你已经痊愈了，不要再犯罪，恐怕你遭遇的更加厉害。
约翰福音5:15	　那人就去告诉犹太人，使他痊愈的是耶稣。
约翰福音5:16	　所以犹太人逼迫耶稣，因为他在安息日做了这事。
约翰福音5:17	　耶稣就对他们说：我父做事直到如今，我也做事。
约翰福音5:18	　所以犹太人越发想要杀他；因他不但犯了安息日，并且称神为他的父，将自己和神当作平等。
约翰福音5:19	　耶稣对他们说：我实实在在地告诉你们，子凭着自己不能做什么，唯有看见父所做的，子才能做；父所做的事，子也照样做。
约翰福音5:20	　父爱子，将自己所做的一切事指给他看，还要将比这更大的事指给他看，叫你们希奇。
约翰福音5:21	　父怎样叫死人起来，使他们活着，子也照样随自己的意思使人活着。
约翰福音5:22	　父不审判什么人，乃将审判的事全交与子，
约翰福音5:23	　叫人都尊敬子如同尊敬父一样。不尊敬子的，就是不尊敬差子来的父。
约翰福音5:24	　我实实在在地告诉你们，那听我话，又信差我来者的，就有永生；不至于定罪，是已经出死入生了。
约翰福音5:25	　我实实在在地告诉你们，时候将到，现在就是了，死人要听见神儿子的声音，听见的人就要活了。
约翰福音5:26	　因为父怎样在自己有生命，就赐给他儿子也照样在自己有生命，
约翰福音5:27	　并且因为他是人子，就赐给他行审判的权柄。
约翰福音5:28	　你们不要把这事看作希奇。时候要到，凡在坟墓里的，都要听见他的声音，就出来；
约翰福音5:29	　行善的，复活得生；作恶的，复活定罪。
约翰福音5:30	　我凭着自己不能做什么，我怎么听见，就怎么审判。我的审判也是公平的；因为我不求自己的意思，只求那差我来者的意思。
约翰福音5:31	　我若为自己作见证，我的见证就不真。
约翰福音5:32	　另有一位给我作见证，我也知道他给我作的见证是真的。
约翰福音5:33	　你们曾差人到约翰那里，他为真理作过见证。
约翰福音5:34	　其实我所受的见证不是从人来的；然而，我说这些话，为要叫你们得救。
约翰福音5:35	　约翰是点着的明灯，你们情愿暂时喜欢他的光。
约翰福音5:36	　但我有比约翰更大的见证；因为父交给我，要我成就的事，就是我所做的事，这便见证我是父所差来的。
约翰福音5:37	　差我来的父也为我作过见证。你们从来没有听见他的声音，也没有看见他的形像。
约翰福音5:38	　你们并没有他的道存在心里；因为他所差来的，你们不信。
约翰福音5:39	　你们查考圣经，因你们以为内中有永生；给我作见证的就是这经。
约翰福音5:40	　然而，你们不肯到我这里来得生命。
约翰福音5:41	　我不受从人来的荣耀。
约翰福音5:42	　但我知道，你们心里没有神的爱。
约翰福音5:43	　我奉我父的名来，你们并不接待我；若有别人奉自己的名来，你们倒要接待他。
约翰福音5:44	　你们互相受荣耀，却不求从独一之神来的荣耀，怎能信我呢？
约翰福音5:45	　不要想我在父面前要告你们；有一位告你们的，就是你们所仰赖的摩西。
约翰福音5:46	　你们如果信摩西，也必信我，因为他书上有指着我写的话。
约翰福音5:47	　你们若不信他的书，怎能信我的话呢？
约翰福音6:1	　这事以后，耶稣渡过加利利海，就是提比哩亚海。
约翰福音6:2	　有许多人因为看见他在病人身上所行的神迹，就跟随他。
约翰福音6:3	　耶稣上了山，和门徒一同坐在那里。
约翰福音6:4	　那时，犹太人的逾越节近了。
约翰福音6:5	　耶稣举目看见许多人来，就对腓力说：我们从哪里买饼叫这些人吃呢？
约翰福音6:6	　他说这话是要试验腓力；他自己原知道要怎样行。
约翰福音6:7	　腓力回答说：就是二十两银子的饼，叫他们各人吃一点也是不够的。
约翰福音6:8	　有一个门徒，就是西门·彼得的兄弟安得烈，对耶稣说：
约翰福音6:9	　在这里有一个孩童，带着五个大麦饼、两条鱼，只是分给这许多人还算什么呢？
约翰福音6:10	　耶稣说：你们叫众人坐下。原来那地方的草多，众人就坐下，数目约有五千。
约翰福音6:11	　耶稣拿起饼来，祝谢了，就分给那坐着的人；分鱼也是这样，都随着他们所要的。
约翰福音6:12	　他们吃饱了，耶稣对门徒说：把剩下的零碎收拾起来，免得有糟蹋的。
约翰福音6:13	　他们便将那五个大麦饼的零碎，就是众人吃了剩下的，收拾起来，装满了十二个篮子。
约翰福音6:14	　众人看见耶稣所行的神迹，就说：这真是那要到世间来的先知！
约翰福音6:15	　耶稣既知道众人要来强逼他作王，就独自又退到山上去了。
约翰福音6:16	　到了晚上，他的门徒下海边去，
约翰福音6:17	　上了船，要过海往迦百农去。天已经黑了，耶稣还没有来到他们那里。
约翰福音6:18	　忽然狂风大作，海就翻腾起来。
约翰福音6:19	　门徒摇橹，约行了十里多路，看见耶稣在海面上走，渐渐近了船，他们就害怕。
约翰福音6:20	　耶稣对他们说：是我，不要怕！
约翰福音6:21	　门徒就喜欢接他上船，船立时到了他们所要去的地方。
约翰福音6:22	　第二日，站在海那边的众人知道那里没有别的船，只有一只小船；又知道耶稣没有同他的门徒上船，乃是门徒自己去的。
约翰福音6:23	　然而，有几只小船从提比哩亚来，靠近主祝谢后分饼给人吃的地方。
约翰福音6:24	　众人见耶稣和门徒都不在那里，就上了船，往迦百农去找耶稣。
约翰福音6:25	　既在海那边找着了，就对他说：拉比，是几时到这里来的？
约翰福音6:26	　耶稣回答说：我实实在在地告诉你们，你们找我，并不是因见了神迹，乃是因吃饼得饱。
约翰福音6:27	　不要为那必坏的食物劳力，要为那存到永生的食物劳力，就是人子要赐给你们的，因为人子是父神所印证的。
约翰福音6:28	　众人问他说：我们当行什么，才算做神的工呢？
约翰福音6:29	　耶稣回答说：信神所差来的，这就是做神的工。
约翰福音6:30	　他们又说：你行什么神迹，叫我们看见就信你；你到底做什么事呢？
约翰福音6:31	　我们的祖宗在旷野吃过吗哪，如经上写着说：他从天上赐下粮来给他们吃。
约翰福音6:32	　耶稣说：我实实在在地告诉你们，那从天上来的粮不是摩西赐给你们的，乃是我父将天上来的真粮赐给你们。
约翰福音6:33	　因为神的粮就是那从天上降下来，赐生命给世界的。
约翰福音6:34	　他们说：主啊，常将这粮赐给我们！
约翰福音6:35	　耶稣说：我就是生命的粮。到我这里来的，必定不饿；信我的，永远不渴。
约翰福音6:36	　只是我对你们说过，你们已经看见我，还是不信。
约翰福音6:37	　凡父所赐给我的人，必到我这里来；到我这里来的，我总不丢弃他。
约翰福音6:38	　因为我从天上降下来，不是要按自己的意思行，乃是要按那差我来者的意思行。
约翰福音6:39	　差我来者的意思就是：他所赐给我的，叫我一个也不失落，在末日却叫他复活。
约翰福音6:40	　因为我父的意思是叫一切见子而信的人得永生，并且在末日我要叫他复活。
约翰福音6:41	　犹太人因为耶稣说，我是从天上降下来的粮，就私下议论他，
约翰福音6:42	　说：这不是约瑟的儿子耶稣吗？他的父母我们岂不认得吗？他如今怎么说，我是从天上降下来的呢？
约翰福音6:43	　耶稣回答说：你们大家不要议论。
约翰福音6:44	　若不是差我来的父吸引人，就没有能到我这里来的；到我这里来的，在末日我要叫他复活。
约翰福音6:45	　在先知书上写着说：他们都要蒙神的教导。凡听见父之教导又学习的，就到我这里来。
约翰福音6:46	　这不是说有人看见过父，唯独从神来的，他看见过父。
约翰福音6:47	　我实实在在地告诉你们，信的人有永生。
约翰福音6:48	　我就是生命的粮。
约翰福音6:49	　你们的祖宗在旷野吃过吗哪，还是死了。
约翰福音6:50	　这是从天上降下来的粮，叫人吃了就不死。
约翰福音6:51	　我是从天上降下来生命的粮；人若吃这粮，就必永远活着。我所要赐的粮就是我的肉，为世人之生命所赐的。
约翰福音6:52	　因此，犹太人彼此争论说：这个人怎能把他的肉给我们吃呢？
约翰福音6:53	　耶稣说：我实实在在地告诉你们，你们若不吃人子的肉，不喝人子的血，就没有生命在你们里面。
约翰福音6:54	　吃我肉、喝我血的人就有永生，在末日我要叫他复活。
约翰福音6:55	　我的肉真是可吃的，我的血真是可喝的。
约翰福音6:56	　吃我肉、喝我血的人常在我里面，我也常在他里面。
约翰福音6:57	　永活的父怎样差我来，我又因父活着；照样，吃我肉的人也要因我活着。
约翰福音6:58	　这就是从天上降下来的粮。吃这粮的人就永远活着，不像你们的祖宗吃过吗哪还是死了。
约翰福音6:59	　这些话是耶稣在迦百农会堂里教导人说的。
约翰福音6:60	　他的门徒中有好些人听见了，就说：这话甚难，谁能听呢？
约翰福音6:61	　耶稣心里知道门徒为这话议论，就对他们说：这话是叫你们厌弃吗？
约翰福音6:62	　倘或你们看见人子升到他原来所在之处，怎么样呢？
约翰福音6:63	　叫人活着的乃是灵，肉体是无益的。我对你们所说的话就是灵，就是生命。
约翰福音6:64	　只是你们中间有不信的人。耶稣从起头就知道谁不信他、谁要卖他。
约翰福音6:65	　耶稣又说：所以我对你们说过，若不是蒙我父的恩赐，没有人能到我这里来。
约翰福音6:66	　从此，他门徒中多有退去的，不再和他同行。
约翰福音6:67	　耶稣就对那十二个门徒说：你们也要去吗？
约翰福音6:68	　西门·彼得回答说：主啊，你有永生之道，我们还归从谁呢？
约翰福音6:69	　我们已经信了，又知道你是神的圣者。
约翰福音6:70	　耶稣说：我不是拣选了你们十二个门徒吗？但你们中间有一个是魔鬼。
约翰福音6:71	　耶稣这话是指着加略人西门的儿子犹大说的；他本是十二个门徒里的一个，后来要卖耶稣的。
约翰福音7:1	　这事以后，耶稣往来加利利，不愿往来犹太，因为犹太人想要杀他。
约翰福音7:2	　当时犹太人的住棚节近了。
约翰福音7:3	　耶稣的弟兄就对他说：你离开这里上犹太去吧，叫你的门徒也看见你所行的事。
约翰福音7:4	　人要显扬名声，没有在暗处行事的；你如果行这些事，就当将自己显明给世人看。
约翰福音7:5	　因为连他的弟兄说这话，是因为不信他。
约翰福音7:6	　耶稣就对他们说：我的时候还没有到；你们的时候常是方便的。
约翰福音7:7	　世人不能恨你们，却是恨我，因为我指证他们所做的事是恶的。
约翰福音7:8	　你们上去过节吧，我现在不上去过这节，因为我的时候还没有满。
约翰福音7:9	　耶稣说了这话，仍旧住在加利利。
约翰福音7:10	　但他弟兄上去以后，他也上去过节；不是明去，似乎是暗去的。
约翰福音7:11	　正在节期，犹太人寻找耶稣，说：他在哪里？
约翰福音7:12	　众人为他纷纷议论，有的说：他是好人。有的说：不然，他是迷惑众人的。
约翰福音7:13	　只是没有人明明地讲论他，因为怕犹太人。
约翰福音7:14	　到了节期，耶稣上殿里去教导人。
约翰福音7:15	　犹太人就希奇，说：这个人没有学过，怎么明白书呢？
约翰福音7:16	　耶稣说：我的教训不是我自己的，乃是那差我来者的。
约翰福音7:17	　人若立志遵着他的旨意行，就必晓得这教训或是出于神，或是我凭着自己说的。
约翰福音7:18	　人凭着自己说，是求自己的荣耀；唯有求那差他来者的荣耀，这人是真的，在他心里没有不义。
约翰福音7:19	　摩西岂不是传律法给你们吗？你们却没有一个人守律法。为什么想要杀我呢？
约翰福音7:20	　众人回答说：你是被鬼附着了！谁想要杀你？
约翰福音7:21	　耶稣说：我做了一件事，你们都以为希奇。
约翰福音7:22	　摩西传割礼给你们（其实不是从摩西起的，乃是从祖先起的），因此你们也在安息日给人行割礼。
约翰福音7:23	　人若在安息日受割礼，免得违背摩西的律法；我在安息日叫一个人全然好了，你们就向我生气吗？
约翰福音7:24	　不可按外貌断定是非，总要按公平断定是非。
约翰福音7:25	　耶路撒冷人中有的说：这不是他们想要杀的人吗？
约翰福音7:26	　你看他还明明地讲道，他们也不向他说什么，难道官长真知道这是基督吗？
约翰福音7:27	　然而，我们知道这个人从哪里来；只是基督来的时候，没有人知道他从哪里来。
约翰福音7:28	　那时，耶稣在殿里教导人，大声说：你们也知道我，也知道我从哪里来；我来并不是由于自己。但那差我来的是真的，你们不认识他，
约翰福音7:29	　我却认识他；因为我是从他来的，他也是差了我来。
约翰福音7:30	　他们就想要捉拿耶稣；只是没有人下手，因为他的时候还没有到。
约翰福音7:31	　但众人中间有好些信他的，说：基督来的时候，他所行的神迹岂能比这人所行的更多吗？
约翰福音7:32	　法利赛人听见众人为耶稣这样纷纷议论，祭司长和法利赛人就打发差役去捉拿他。
约翰福音7:33	　于是耶稣说：我还有不多的时候和你们同在，以后就回到差我来的那里去。
约翰福音7:34	　你们要找我，却找不着；我所在的地方，你们不能到。
约翰福音7:35	　犹太人就彼此对问说：这人要往哪里去，叫我们找不着呢？难道他要往散住希腊中的犹太人那里去教导希腊人吗？
约翰福音7:36	　他说：你们要找我，却找不着；我所在的地方，你们不能到。这话是什么意思呢？
约翰福音7:37	　节期的末日，就是最大之日，耶稣站着高声说：人若渴了，可以到我这里来喝。
约翰福音7:38	　信我的人就如经上所说，从他腹中要流出活水的江河来。
约翰福音7:39	　耶稣这话是指着信他之人要受圣灵说的。那时还没有赐下圣灵来，因为耶稣尚未得着荣耀。
约翰福音7:40	　众人听见这话，有的说：这真是那先知。
约翰福音7:41	　有的说：这是基督。但也有的说：基督岂是从加利利出来的吗？
约翰福音7:42	　经上岂不是说，基督是大卫的后裔，从大卫本乡伯利恒出来的吗？
约翰福音7:43	　于是众人因着耶稣起了纷争。
约翰福音7:44	　其中有人要捉拿他，只是无人下手。
约翰福音7:45	　差役回到祭司长和法利赛人那里。他们对差役说：你们为什么没有带他来呢？
约翰福音7:46	　差役回答说：从来没有像他这样说话的！
约翰福音7:47	　法利赛人说：你们也受了迷惑吗？
约翰福音7:48	　官长或是法利赛人岂有信他的呢？
约翰福音7:49	　但这些不明白律法的百姓是被咒诅的！
约翰福音7:50	　内中有尼哥德慕，就是从前去见耶稣的，对他们说：
约翰福音7:51	　不先听本人的口供，不知道他所做的事，难道我们的律法还定他的罪吗？
约翰福音7:52	　他们回答说：你也是出于加利利吗？你且去查考，就可知道加利利没有出过先知。
约翰福音8:1	　于是各人都回家去了；耶稣却往橄榄山去，
约翰福音8:2	　清早又回到殿里。众百姓都到他那里去，他就坐下，教导他们。
约翰福音8:3	　文士和法利赛人带着一个行淫时被拿的妇人来，叫她站在当中，
约翰福音8:4	　就对耶稣说：夫子，这妇人是正行淫之时被拿的。
约翰福音8:5	　摩西在律法上吩咐我们把这样的妇人用石头打死。你说该把她怎么样呢？
约翰福音8:6	　他们说这话，乃试探耶稣，要得着告他的把柄。耶稣却弯着腰，用指头在地上画字。
约翰福音8:7	　他们还是不住地问他，耶稣就直起腰来，对他们说：你们中间谁是没有罪的，谁就可以先拿石头打她。
约翰福音8:8	　于是又弯着腰，用指头在地上画字。
约翰福音8:9	　他们听见这话，就从老到少，一个一个地都出去了，只剩下耶稣一人，还有那妇人仍然站在当中。
约翰福音8:10	　耶稣就直起腰来，对她说：妇人，那些人在哪里呢？没有人定你的罪吗？
约翰福音8:11	　她说：主啊，没有。耶稣说：我也不定你的罪。去吧，从此不要再犯罪了！
约翰福音8:12	　耶稣又对众人说：我是世界的光。跟从我的，就不在黑暗里走，必要得着生命的光。
约翰福音8:13	　法利赛人对他说：你是为自己作见证，你的见证不真。
约翰福音8:14	　耶稣说：我虽然为自己作见证，我的见证还是真的；因我知道我从哪里来，往哪里去；你们却不知道我从哪里来，往哪里去。
约翰福音8:15	　你们是以外貌判断人，我却不判断人。
约翰福音8:16	　就是判断人，我的判断也是真的；因为不是我独自在这里，还有差我来的父与我同在。
约翰福音8:17	　你们的律法上也记着说：两个人的见证是真的。
约翰福音8:18	　我是为自己作见证，还有差我来的父也是为我作见证。
约翰福音8:19	　他们就问他说：你的父在哪里？耶稣回答说：你们不认识我，也不认识我的父；若是认识我，也就认识我的父。
约翰福音8:20	　这些话是耶稣在殿里的库房教导人时所说的，也没有人拿他，因为他的时候还没有到。
约翰福音8:21	　耶稣又对他们说：我要去了，你们要找我，并且你们要死在罪中。我所去的地方，你们不能到。
