摩西书1:1	这些是摩西被提到一座非常高的山上时，神对摩西说的话，
亚伯拉罕书3:5	主对我说：这较小光体，即管理黑夜的行星，比管理白昼的行星小，在时间的计算方面，比你所站的行星高或大，因为它在较慢的体系中运行；这是有秩序的，因为它位于你所站的地球的上方，所以它时间的计算，就其天数、月数和年数而言，没有那么多。
亚伯拉罕书3:6	主对我说：现在，亚伯拉罕，这两个事实存在，看啊，你亲眼看见了；那是给你的，好让你知道计算的时间和设定的时间，是的，你所站的地球的设定时间和设置来管理白昼的较大光体的设定时间以及设置来管理黑夜的较小光体的设定时间。
亚伯拉罕书3:7	较小光体的设定时间，就其计算而言，比你所站的地球的时间的计算要长。
亚伯拉罕书3:8	只要这两个事实存在，就一定有另一个事实在它们上方，也就是说，一定有另一个行星的时间的计算更长；
亚伯拉罕书3:9	这样一定有一个行星的时间的计算，在另一个之上，直到你接近口拉卜，那口拉卜是按主的时间的计算；那口拉卜被设置在神的宝座附近，管理一切与你所站的行星属于同一体系的行星。
亚伯拉罕书3:10	那是给你的，好让你知道一切被设置来发光的众星的设定时间，直到你接近神的宝座。
亚伯拉罕书3:11	我亚伯拉罕就这样面对面地与主交谈，就像人彼此交谈一样；祂告诉我有关祂的手所做的工；
亚伯拉罕书3:12	祂对我说：我儿，我儿（祂的手伸出），看啊，我要把这一切都给你看。祂把祂的手放在我眼睛上，我看见那些祂的手所做的，那是很多的；它们在我眼前增多，我看不到它们的终止。
亚伯拉罕书3:13	祂对我说：这是示尼哈，是太阳。接着祂对我说：口口卜，是星星。接着祂对我说：欧立阿，是月亮。然后祂对我说：口卡并，意思是众星或天上的穹苍中一切大的光体。
亚伯拉罕书3:14	主对我说这些话的时候是在晚上：我必使你和你之后的子孙增多，像这些一样；如果你数得出沙子的数目，你的后裔就是那个数目。
亚伯拉罕书3:15	主对我说：亚伯拉罕，我在你进埃及之前向你显示这些事情，使你能宣讲这一切话。
亚伯拉罕书3:16	如果两个东西存在，一个在另一个之上，必有更大的东西在它们之上；所以口拉卜是所有你看到的口卡并中最大的一个，因为它最靠近我。
亚伯拉罕书3:17	如果有两个东西，一个在另一个之上，而月亮在地球之上，那么就会有行星或星球在它之上存在；主你的神除了祂要去做的事以外，不会把别的事放在心中。
亚伯拉罕书3:18	然而，祂造了较大的星球；而且，同样的，如果有两个灵体，一个一定比另一个有智能，然而这两个灵体，虽然一个比另一个有智能，但都没有起始；他们以前就存在，他们不会有终止，他们以后也会存在，他们是诺蓝，或永恒的。
亚伯拉罕书3:19	主对我说：这两个事实的确存在，有两个灵，一个比另一个有智能；一定还有另一个比他们都有智能；我是主你的神，我比他们所有的都更有智能。
亚伯拉罕书3:20	主你的神派祂的天使从厄克拿的祭司手中解救了你。
亚伯拉罕书3:21	我住在他们所有的中间；所以，我现在下来到你这里，向你宣布我的手所做的工，在其中我的智慧超越他们所有的，我在一切智慧和审慎中、在天上和地下、统治你的眼睛从太初起所看到的一切智能；我在太初就下来到你看到的一切智能中间。
亚伯拉罕书3:22	主向我亚伯拉罕显示创世以前就组织好的智能；所有这些当中有很多高贵而伟大的；
亚伯拉罕书3:23	神看到这些灵魂，他们都是好的，祂站在他们中间说：我要使这些成为我的众统治者；祂站在那些灵当中，祂看到他们都是好的；祂对我说：亚伯拉罕，你是其中之一；你在出生之前就已被拣选。
亚伯拉罕书3:24	他们当中有一位像神的站在那里，他对那些跟他在一起的说：我们要下去，那里有空间，我们要拿这些物质，我们要造一个地球让这些人住在上面；
亚伯拉罕书3:25	我们要借此验证他们，看他们是否愿意做主他们的神命令他们的所有事情；
亚伯拉罕书3:26	凡守住第一地位的必被加上去；凡没有守住第一地位的，将不能和那些守住第一地位者在同样的国度中拥有荣耀；凡守住第二地位的，将有荣耀加在他们头上，永永远远。
亚伯拉罕书3:27	主说：我要派谁去呢？有个像人子的回答说：我在这里，派我去。另一个也回答说：我在这里，派我去。主说：我要派第一个去。
亚伯拉罕书3:28	于是第二个发怒，并且没有守住他的第一地位；而且，当天，很多灵跟随他。
亚伯拉罕书4:1	然后主说：我们下去吧。于是在太初时祂们就下去，他们，也就是众神组织和造了诸天和大地。
亚伯拉罕书4:2	大地造成之后空旷而荒芜，因为祂们除了大地之外没有造别的；黑暗笼罩渊面，众神的灵覆盖在水面上。
亚伯拉罕书4:3	祂们（众神）说：要有光，于是就有了光。
亚伯拉罕书4:4	祂们（众神）理解那光，因为它是明亮的；祂们分开那光，或使它与黑暗分开。
亚伯拉罕书4:5	众神称光为昼，称黑暗为夜。事情是这样的，祂们称从晚上到早晨为夜；祂们称从早晨到晚上为昼；这是祂们称昼和夜的第一个时期或开始。
亚伯拉罕书4:6	然后众神又说：诸水之间要有一片空间，将诸水与诸水分开。
亚伯拉罕书4:7	众神就命令空间，所以它就将空间以下的诸水和空间以上的诸水分开；事就成了，就照祂们命令的。
亚伯拉罕书4:8	众神称空间为天。事情是这样的，祂们称从晚上到早晨为夜；事情是这样的，祂们称从早晨到晚上为昼；这是祂们称夜和昼的第二个时期。
亚伯拉罕书4:9	然后众神命令说：天下的诸水要聚在一处，干地要露出来；事就照祂们的命令成了；
亚伯拉罕书4:10	众神称干土为地；祂们称诸水汇集的地方为大水；众神看见它们都服从了。
亚伯拉罕书4:11	众神说：我们要把地准备好，使它长出青草；结种子的草本植物，结果子的果树，各从其类，而在果子里的种子，要在地上长出同类的果子来；事就成了，就照祂们命令的。
亚伯拉罕书4:12	众神组织了地，使青草从其种子中长出来，使草本植物从其种子中长出草本植物来，并且结种子，各从其类；地上也有树从树的种子中长出来，并且结果子，其种子只能长出与自己相同的，各从其类；众神看见它们都服从了。
亚伯拉罕书4:13	事情是这样的，祂们计算日子；祂们称从晚上到早晨为夜；事情是这样的，祂们称从早晨到晚上为昼；那是第三个时期。
亚伯拉罕书4:14	众神在天空中组织光体，使它们分别昼夜；组织它们作记号，定节令、日子、年岁；
亚伯拉罕书4:15	组织它们成为天空中的光体，发光照在地上；事就成了。
亚伯拉罕书4:16	众神组织了两个大光，较大的光体管理白昼，较小的光体管理黑夜；也设置了众星与较小的光体在一起；
亚伯拉罕书4:17	众神把它们设置在天空中，照在地上，管理昼夜，使之分别明暗。
亚伯拉罕书4:18	众神观看那些祂们所命令的，直到它们服从了。
亚伯拉罕书4:19	事情是这样的，从晚上到早晨是夜，事情是这样的，从早晨到晚上是昼；那是第四个时期。
亚伯拉罕书4:20	众神说：我们要把水准备好，使它多多滋生有生命而能行动的活物；也要有鸟飞在地面以上，天空之中。
亚伯拉罕书4:21	于是众神准备了水，使水滋生大鲸鱼，和水中多多滋生的各种能行动的活物，各从其类；又有各样飞鸟各从其类。众神看见它们都会服从，而且祂们的计划是好的。
亚伯拉罕书4:22	众神说：我们要祝福它们，使它们生养众多，充满海中或大水中的诸水；也使飞鸟在地上繁殖。
亚伯拉罕书4:23	事情是这样的，祂们称从晚上到早晨为夜，事情是这样的，祂们称从早晨到晚上为昼；那是第五个时期。
亚伯拉罕书4:24	接着众神把地准备好，使它生出活物来，各从其类；牲畜、爬行动物、地上的野兽，各从其类；事就成了，照祂们说的。
亚伯拉罕书4:25	众神组织了地，使它生出野兽，各从其类；牲畜，各从其类；地上的一切爬行动物，各从其类；众神看见它们都会服从。
亚伯拉罕书4:26	然后众神彼此商议，并且说：我们下去，照着我们的形像、按着我们的样式造人；我们要让他们管辖海里的鱼、空中的鸟、地上的牲畜、全地，并爬在地上的一切爬行动物。
亚伯拉罕书4:27	于是众神就下去，照着祂们自己的形像组织人，祂们照着众神的形像造人，祂们造男造女。
亚伯拉罕书4:28	众神说：我们要祝福他们。众神说：我们要使他们生养众多，遍满地面，治理这地，也要管辖海里的鱼、空中的鸟，和在地上活动的各样活物。
亚伯拉罕书4:29	众神说：看啊，我们要把那将会在全地面上结种子的一切草本植物，和一切结果子的树都给他们；是的，我们要把结有种子的那树的果子给他们；那要给他们作食物。
亚伯拉罕书4:30	至于地上的一切野兽和空中的一切飞鸟，并一切在地上爬的物，看啊，我们会给它们生命，也会给它们一切绿色的草本植物作食物；这一切事都会这样组织起来。
亚伯拉罕书4:31	众神说：我们会做我们所说的每一件事，组织它们；并且看啊，它们一定非常服从。事情是这样的，祂们称从晚上到早晨为夜，事情是这样的，祂们称从早晨到晚上为昼；他们算作第六个时期。
约瑟·斯密——马太1:1	我告诉你们，从今以后，你们不得再见我，并且不知道我就是先知们所写的那位，直等到你们说：那奉主的名，在天上的云中来临，又有所有的神圣天使与祂一起的，是应当称颂的。祂的门徒们那时才了解，祂在神的右边得荣耀、受冠冕后，必再降临地上。
约瑟·斯密——马太1:2	耶稣出去，从圣殿离去，门徒进前来，为了要听祂，说道：夫子，将有关那殿宇的事显给我们看，您说过——它们必被拆毁，成为荒场留给你们。
约瑟·斯密——马太1:3	耶稣对他们说：你们不是看见这一切事吗？你们不了解吗？我实在告诉你们，将来在这里，这个圣殿，没有一块石头留在石头上，不被拆毁了。
约瑟·斯密——马太1:4	耶稣离开他们，上了橄榄山。耶稣在橄榄山上坐着，门徒暗暗地来说：请告诉我们，您说过有关圣殿和犹太人会毁灭的事，什么时候会有这些事？有关您的降临、世界的末了、或恶人的毁灭，即世界的末了，有什么预兆呢？
约瑟·斯密——马太1:5	耶稣回答他们说：要注意，免得有人迷惑你们；
约瑟·斯密——马太1:6	因为将来有许多人冒我的名来，说——我是基督——并且要迷惑许多人；
约瑟·斯密——马太1:7	那时，人要把你们陷在患难里，也要杀害你们；你们又要为我的名被万民恨恶；
约瑟·斯密——马太1:8	那时，必有许多人跌倒，也要彼此陷害，彼此恨恶；
约瑟·斯密——马太1:9	且有许多假先知起来，并且要迷惑许多人；
约瑟·斯密——马太1:10	因罪恶会增多，许多人的爱心会渐渐冷淡；
约瑟·斯密——马太1:11	唯有保持坚定，不被胜过的，必然得救。
约瑟·斯密——马太1:12	因此，当你们看见先知但以理所说的，关于耶路撒冷的毁灭，那毁坏的憎行时，你们要站在圣地上；读这经的人需要会意。
约瑟·斯密——马太1:13	那时，在犹大的，要逃到山上；
约瑟·斯密——马太1:14	在房上的，也要逃开，不要回去拿家里的东西；
约瑟·斯密——马太1:15	在田里的，也不要回去取衣裳；
约瑟·斯密——马太1:16	当那些日子，怀孕的和奶孩子的有祸了；
约瑟·斯密——马太1:17	因此，你们应当祈求主，叫你们逃走时，不在冬天，也不在安息日；
约瑟·斯密——马太1:18	因为，当那些日子，必有大灾难降临犹太人和耶路撒冷的居民，神从以色列国度的起头直到如今，没有降这样的灾难给以色列，没有，以后也不会再降给以色列。
约瑟·斯密——马太1:19	所有降临在他们身上的事，只是要降在他们身上的忧患的起头。
约瑟·斯密——马太1:20	若不减少那日子，没有一个有肉身的会得救；但是，为了选民，按照圣约，那日子必缩短了。
约瑟·斯密——马太1:21	看哪，我已将有关犹太人的这些事告诉你们了；还有，将来降临耶路撒冷的那些苦难的日子之后，若有人对你们说，看，基督在这里，或在那里，不要相信他；
约瑟·斯密——马太1:22	因为在那些日子，假基督、假先知也将要起来，显大神迹、大奇事，倘若能行，甚至连选民，即按照圣约的选民，也会被他们迷惑。
约瑟·斯密——马太1:23	看哪，我为了选民而将这些事告诉你们；你们也要听见战争和战争的风声；总不要惊慌，因为我告诉你们的一切，都是必须有的；只是末期还没有到。
约瑟·斯密——马太1:24	看哪，我预先告诉你们了。
约瑟·斯密——马太1:25	所以，若有人对你们说：看哪，基督在旷野里，你们不要出去！或说：看哪，基督在内屋中，你们不要信！
约瑟·斯密——马太1:26	晨光从东边发出，直照到西边，笼罩整个大地，人子降临也要这样。
约瑟·斯密——马太1:27	现在我告诉你们一个比喻。看哪，尸首在哪里，鹰也必聚在那里；同样的，我的选民也必从大地四方聚集。
约瑟·斯密——马太1:28	他们要听见战争和战争的风声。
约瑟·斯密——马太1:29	看哪，我为了我的选民说了；民要攻打民，国要攻打国；多处必有饥荒、瘟疫和地震。
约瑟·斯密——马太1:30	还有，因罪恶会增多，人的爱心会渐渐冷淡；唯有不被胜过的，必然得救。
约瑟·斯密——马太1:31	还有，这国度的福音要传遍全世界，对万民作见证，然后末期或恶人的毁灭才来到。
约瑟·斯密——马太1:32	还有，先知但以理所说的毁坏的憎行，必然应验。
约瑟·斯密——马太1:33	那些日子的灾难一过去，日头就变黑了，月亮也不发光，众星要从天上坠落，天势都要震动。
约瑟·斯密——马太1:34	我实在告诉你们，显明这些事的这世代还没有过去，我告诉你们的一切都要成就。
约瑟·斯密——马太1:35	纵然，那日子会到，天地都要废去，我的话却不能废去，而都要应验。
约瑟·斯密——马太1:36	而且，就像我先前说的，那些日子的灾难一过去，天势要震动，那时，人子的兆头要显在天上，地上的万族都要哀哭；他们要看到人子，有能力，有大荣耀，在天上的云中来临；
约瑟·斯密——马太1:37	凡珍藏我话语的，不会被迷惑，因为人子要来，祂要差遣使者在祂面前，用号筒的大声，他们要将祂的选民的遗裔，从四方，从天这边到天那边，都聚集起来。
约瑟·斯密——马太1:38	你们可以从无花果树学个比方：当树枝发嫩开始长叶的时候，你们就知道夏天近了；
约瑟·斯密——马太1:39	同样的，我的选民看见这一切的事，也该知道祂近了，正在门口了；
约瑟·斯密——马太1:40	但那日子，那时辰，没有人知道，不，连神在天上的天使也不知道，唯独父知道。
约瑟·斯密——马太1:41	挪亚的日子怎样，人子的降临也要怎样；
约瑟·斯密——马太1:42	因为他们要像洪水以前的日子那样；人照常吃喝嫁娶，直到挪亚进方舟的那日；
约瑟·斯密——马太1:43	不知不觉洪水来了，把他们全都冲去；人子的降临也要这样。
约瑟·斯密——马太1:44	那时，经上记载的必定应验，在末日，两个人在田里，取去一个，撇下一个；
约瑟·斯密——马太1:45	两个人推磨，取去一个，撇下一个；
约瑟·斯密——马太1:46	我对一个人说的，就是对所有的人说的；所以，要警醒，因为不知道你们的主哪个时辰来到。
约瑟·斯密——马太1:47	家主若知道几更天有贼来，就必警醒，不容人挖透房屋，必有所预备；这是你们所知道的。
约瑟·斯密——马太1:48	所以，你们也要预备，因为你们想不到的时候，人子就来了。
约瑟·斯密——马太1:49	谁是忠心有见识的仆人，为主人所派，管理家里的人，按时分粮给他们呢？
约瑟·斯密——马太1:50	主人来到，看见他这样行，那仆人就有福了；我实在告诉你们，主人要派他管理一切所有的。
约瑟·斯密——马太1:51	倘若那恶仆心里说：我的主人必来得迟，
约瑟·斯密——马太1:52	就动手打他的同伴，又和酒醉的人一同吃喝，
约瑟·斯密——马太1:53	在想不到的日子，不知道的时辰，那仆人的主人要来，
约瑟·斯密——马太1:54	把他切开了，定他和假冒为善的人同罪；在那里必要哀哭切齿了。
约瑟·斯密——马太1:55	恶人的末日就这样照摩西的预言来到，那预言说：他们必从这人民当中剪除；只是大地的末了还没有到，不过，快了。
约瑟·斯密——历史1:1	由于居心邪恶和有阴谋的人散播的许多有关耶稣基督后期圣徒教会的兴起和发展的报导，其内容都出自作者的阴谋，意图不利于教会名誉及其在世界上的发展——促使我要把已发生的，有关我和教会的这段历史，尽我所知写出来，以矫正众人的误解，并让所有探询真相的人获知实情。
约瑟·斯密——历史1:2	在这段历史中，我将在真理和正义中，提出有关这教会的各种事件，按照其发生的经过，或现有的，即自上述教会成立以来第八年〔一八三八〕的现况。
约瑟·斯密——历史1:3	我在主后一千八百零五年十二月二十三日，出生于佛蒙特州温沙郡的夏隆镇。……我大约十岁的时候，父亲老约瑟·斯密离开佛蒙特州，迁往纽约州安大略郡（即今的韦恩郡）的抛迈拉。父亲到抛迈拉大约四年后，举家搬到同为安大略郡的曼彻斯特——
约瑟·斯密——历史1:4	他的家里有十一个人，即我父亲约瑟·斯密、我母亲露西·斯密（她婚前姓麦克，是所罗门·麦克的女儿）；我的兄弟有奥文（逝于一八二三年十一月十九日，时年二十六）、海仑、我自己、撒母耳·哈里森、威廉、唐卡罗；我的姊妹有撒弗尼、凯瑟琳和露西。
约瑟·斯密——历史1:5	我们搬到曼彻斯特后第二年的某个时期，我们居住的地方，在宗教主题上发生了不寻常的骚动。首先由卫理公会开始，但是很快就遍及该地区的所有教派。的确，整个地区似乎都受到影响，大批群众加入各种不同的宗教派系，在人群中造成不小的动荡和分歧，有人喊，「看，这边！」有人喊，「看，那边！」有的为卫理公会的信仰力辩，有的为长老会，有的为浸信会。
约瑟·斯密——历史1:6	虽然信徒在归信时对他们所加入的这些不同的信仰，表现出极大的热爱，各牧师也展现了极大的热诚，积极地激起、推进这一幕非比寻常的宗教情绪，以使每个人都信教，如他们所津津乐道的，让大家各信其教；但是当信徒开始集结，有的加入这一派，有的加入那一派后，祭司和信徒双方表面上的好感，看起来是假多于真；因为接着而来的，就是一幕极大的混乱和恶感——祭司与祭司斗争，信徒与信徒斗争；所以彼此间的一切好感，如果原先有的话，都在言语的冲突和意见的争论中消失殆尽。
约瑟·斯密——历史1:7	当时我还不满十五岁。我父亲的家庭改信了长老会的信仰，有四个家人加入该教会，即我母亲露西、我哥哥海仑、弟弟撒母耳·哈里森，和我姊姊撒弗尼。
约瑟·斯密——历史1:8	在此大骚动期间，我的脑海陷入了认真的思考，和极大的不安；但虽然我感触很深而且时常很强烈，在情况许可下，虽然我常去参加他们的聚会，但是我仍使我自己远离这些教派。过了一段时间，我心里有点偏向卫理公会，觉得有点想加入他们；但是各教派间的混乱和争吵如此严重，年少的我不谙人情世故，对于谁是谁非，不可能有任何定论。
约瑟·斯密——历史1:9	有时我内心非常激动，那喊叫和纷乱是如此严重且没有间断。长老会最是坚决反对浸信会和卫理公会，尽一切论理和诡辩之能，来证明他们的错误，或者，至少使人认为他们有错。另一方面，浸信会和卫理公会也同样热切地努力确立自己的教条，并证明其他一切都是错误的。
约瑟·斯密——历史1:10	在这场言语的论战和意见的纷乱中，我常常对自己说：该怎么办？这些教派中哪个是对的？或者，他们全都错了？如果他们中有任何一个是对的，是哪一个呢？我要怎么知道呢？
约瑟·斯密——历史1:11	我正因这些宗教派系的斗争所造成的极端困难而苦恼时，有一天我读到《雅各书》的第一章第五节，那经文说：你们中间若有缺少智慧的，应当求那厚赐与众人，也不斥责人的神；主就必赐给他。
约瑟·斯密——历史1:12	从来没有一节经文，在人心所产生的力量，能比这节经文在这时候在我心中所产生的更大。它似乎以极大的力量进入我心中的每一个感觉。我一再思考这节经文，知道如果有人需要从神而来的智慧，那就是我；因为我不知道该怎么办，除非我能获得比我当时已有的更多的智慧，我永远也不会知道；因为各教派的宗教教师对同一节经文的理解差异极大，把所有诉诸《圣经》解决疑问的信心都摧毁了。
约瑟·斯密——历史1:13	最后我得到了结论：我一定会继续处在黑暗和混乱中，要不然我就必须照雅各的指示做，就是，去求问神。我最后决定去「求问神」，断定，如果祂将智慧给与缺少智慧的人，且厚赐又不斥责，我当一试。
约瑟·斯密——历史1:14	于是，我依照这去求问神的决心，隐入树林中作此尝试。那是一千八百二十年初春，一个美丽明朗的早晨。那是我生平第一次作这样的尝试，因为我以前遇见任何烦恼，从未尝试作出声的祈祷。
约瑟·斯密——历史1:15	我隐入我事先打算要去的地方，环顾四周，认定只有我自己后，便跪下来开始向神献上我心中的愿望。我刚开始这么做，就立刻被某种力量抓住，那力量将我完全制伏，而且对我有惊人的势力，好像绑住了我的舌头，使我不能说话。浓厚的黑暗围绕着我，有一阵子我似乎觉得自己好像注定要被突然毁灭。
约瑟·斯密——历史1:16	但是我用尽全力呼求神把我从这个抓住我的敌人的力量中救出来，就在我快要沦入绝望而任由自己被毁灭的剎那——不是想象中的毁灭，而是来自看不见的世界中某种实际的东西的力量，那东西拥有那种奇异的力量，我从来没有从其他东西那里感受过——就在这非常可怕的剎那，我看见一道光柱，正在我头上，比太阳的光还亮，缓缓降下来，直到落在我身上。
约瑟·斯密——历史1:17	光柱一出现，我就发现自己已从捆住我的敌人那里被救出来。光停在我身上时，我看见两位人物，站在我上面的空中，其光辉和荣耀无法形容。其中一位对我说话，叫着我的名字，指着另一位说——这是我的爱子。听祂说！
约瑟·斯密——历史1:18	我去求问主的目的，是要知道所有的教派中，哪一个是对的，好让我知道该加入哪一个。所以，我一镇定到能说话的时候，就求问在光中站在我上面的人物，所有的教派中哪一个是对的（因为这时我心中从未想到所有的都是错的）——我该加入哪一个。
约瑟·斯密——历史1:19	我得到的回答是，我必不可加入其中任何一个，因为他们全都是错的；对我说话的那位说，他们所有的教条在祂看来都是可憎的；那些宣讲的人都是腐败的；祂说：「他们用嘴唇接近我，心却远离我，他们以人的诫命作教义教人，有虔敬的外貌，却否认虔敬的能力。」
约瑟·斯密——历史1:20	祂再次禁止我加入其中任何一个；而且祂的确告诉我许多其他的事，那些事我现在不能写出来。我再度恢复时，发现自己正躺在地上，仰望着天空。那光离开时，我还没有力气；但是不久复原了一些后，就回家去。我靠着壁炉时，母亲问我怎么回事。我回答说，「别担心，一切都好——我很好。」然后我对母亲说，「我自己已经知道长老会不是真的了。」似乎敌人在我生命的初期，就察觉我预定要成为妨碍和干扰他国度的人，不然黑暗的势力怎么会联合起来对付我呢？反对和迫害怎么会几乎在我幼年时期，就开始对付我呢？
约瑟·斯密——历史1:21	我获得这异象以后，过了几天，偶然与一位在前述的宗教骚动中，非常活跃的卫理公会的牧师在一起；在与他谈到宗教方面的话题时，我借机向他叙述我获得的异象。他的态度令我非常惊讶；他对我说的话不但漠不关心，还非常轻视，说那完全是属于魔鬼的，现代不会有异象和启示这种事；这种事全都和使徒一起终止了，永远不会再有这种事了。
约瑟·斯密——历史1:22	然而，不久我就发现，我说了这件事，已引起宗教宣讲者们对我产生极大的偏见，并且成了大迫害的原因，那迫害继续增加；虽然我是个默默无闻的男孩，只不过十四、五岁，我的生活环境也使得一个男孩在这个世界上无足轻重，但是许多地位很高的人却会注意到我并引起众人的心意来对付我，造成剧烈的迫害；而且这种情形在各教派都一样——全都联合起来迫害我。
约瑟·斯密——历史1:23	当时这件事使我认真的思考，从那时起我常想，那真是一件怪事，一个默默无闻的男孩，十四岁多一点，而且注定必须每天做工，才能勉强维持生活的男孩，竟然被认为是一位足够重要的人，足以吸引当时最有名望的教派的大人物们注意，并使得他们心里产生最剧烈的迫害和辱骂的情绪。但是不论奇怪与否，事实就是这样，而且那时常是我极其悲伤的原因。
约瑟·斯密——历史1:24	可是，我看到异象仍然是个事实。从那时起我就想，我觉得很像保罗；他在亚基帕王面前为自己辩护，述说他在异象中看见光、听到声音的经过；但是仍然只有几个人相信他；有的人说他不诚实，有的人说他疯了；他被嘲笑和辱骂。但是这一切都无法破坏他的异象的真实性。他看见了一个异象，他知道他看见了，天底下所有的迫害都改变不了；即使他们要把他迫害到死，他还是知道，他到最后一口气还是知道，他不但看见光，也听见有个声音对他说话，全世界都无法改变他的想法或信念。
约瑟·斯密——历史1:25	我的情形也是这样。我确实看到了光，并且在那光中看到两位人物，祂们确实对我说话；虽然我因为说我看到异象而受人憎恨和迫害，但是这仍然是真的；他们因为我这么说而迫害我、辱骂我、并捏造各样坏话毁谤我时，我不禁在心里说：为什么因为我说实话而迫害我呢？我确实看到了异象；我是谁，我怎能违抗神呢？或者，为什么世人想要使我否认我实际看见的呢？因为我看见了异象；我知道，我知道神也知道，我不能否认，也不敢否认；至少我知道这么做我会冒犯神，而且会被定罪。
约瑟·斯密——历史1:26	至于各教派方面的事，我心里已毫无疑问——我不必加入他们任何一个，只要继续保持现状，直到有进一步的指示。我已得知雅各的见证是真的——缺少智慧的人去求问神，就会得到，且不会受斥责。
约瑟·斯密——历史1:27	我继续从事生活中一般的工作，直到西元一千八百二十三年九月二十一日。这整个期间，我因为继续认定我看到了异象，所以遭受各阶层的人严重的迫害，有宗教界的也有非宗教界的。
约瑟·斯密——历史1:28	从我获得异象以后，到一千八百二十三年的这段期间——由于我被禁止加入当时的任何教派，而且年纪又轻，又受到那些原本应是我的朋友并善待我的人迫害；他们如果认为我受到迷惑，就应努力用适当而亲切的方式来纠正我——我被留在各种诱惑中；而且，和社会上各种人来往，时常陷入许多愚笨的错误中，暴露了年轻人的弱点和人性的缺点；说来很遗憾，那些问题把我引至在神眼中会冒犯祂的各种诱惑中。我作这样的自白，任何人都不必以为我犯了任何重大的或恶性的罪。我的本性中从来没有犯那种罪的倾向。然而我是有轻率的罪，有时候和爱嬉闹的伙伴交往等等，不符合像我这样蒙神召唤的人，所应该保持的品格。但是这一点对于任何一个记得我少年时代，并认识我天生个性开朗的人看来，不会有什么奇怪。
约瑟·斯密——历史1:29	这些事情使我常常因为自己的弱点和不完全而自觉有罪；后来，在上述九月二十一日晚上，我到床上就寝后，我就向全能的神祈祷和恳求，求祂宽恕我一切的罪和愚昧，并向我显示，让我知道我在祂面前的情况和地位；因为我有充分的信心像我先前那样，获得神圣的显示。
约瑟·斯密——历史1:30	我正这样呼求神的时候，发现房中有光出现，那光不断增强，直到房中比正午还亮，随即有个人物出现在我床边；他站在空中，因为他的脚没有着地。
约瑟·斯密——历史1:31	他穿着一件非常洁白的宽袍。那种洁白超过我在世上所见过的任何东西；我也不相信世上有任何东西能做得这么洁白而耀眼。他的双手露在外面，手腕上方的一小段手臂也是如此；还有，他的双脚也露在外面，脚踝上方的一小段也是如此。他的头和颈也露出来。我可以看出他除了这件袍子以外，没有穿别的衣服，因为袍子敞开，我可以看到他的胸膛。
约瑟·斯密——历史1:32	不仅他的袍子极度洁白，他整个人的荣耀也无法形容，他的面容确如闪电一般。房间极度明亮，但不像紧绕他本人周围那样特别的亮。刚见到他时，我感到害怕；但这害怕很快就消失了。
约瑟·斯密——历史1:33	他叫我的名字，告诉我他是从神面前派到我这里来的使者，名叫摩罗乃；他说，神有一件事工要我去做；我的名字必在各国、各族、各方中受好评或恶评，或者必在各民中受到褒贬。
约瑟·斯密——历史1:34	他说有一部被存放起来的书，是写在金页片上的，叙述此大陆早期居民的记事和他们的来处。他还说，救主传给古代居民的圆满的永久福音也包含在里面；
约瑟·斯密——历史1:35	还有，有两颗在银框中的石头——这两颗石头与一块胸牌相连，构成所谓的乌陵和土明——和页片存放在一起；拥有和使用这些石头的人，就构成了古代或早期所谓的「先见」；神准备这东西的目的，就是为了翻译这本书。
约瑟·斯密——历史1:36	告诉我这些事以后，他开始引述旧约的预言。他首先引述《玛拉基书》第三章的一部分，然后又引述同一预言的第四章或最后一章，不过跟我们在《圣经》所读到的略有不同。他引述的第一节跟我们在书中读到的不同，他引述如下：
约瑟·斯密——历史1:37	万军之主说，看啊，那日临近，势如烧着的火炉，凡狂傲的，是的，和凡行恶的，要如碎秸般地燃烧；因为那些要来的要烧掉他们，根本枝条一无存留。
约瑟·斯密——历史1:38	然后，他引述第五节如下：看啊，主大而可畏之日未到以前，我要借先知以来加的手，向你们显示圣职。
约瑟·斯密——历史1:39	他引述的下一节经文也有不同：而且他会将对父亲所作的应许，栽植在儿女心中，而儿女的心将转向父亲。如果不这样，全地必在祂来临时完全荒废。
约瑟·斯密——历史1:40	除了这些以外，他也引述了《以赛亚书》第十一章，说那快要应验了。他也引述了《使徒行传》第三章第二十二和二十三节，内容和我们新约里的完全一样。他说那先知就是基督；但是那「凡不听从祂的声音的，必从人民当中剪除」的日子还没有到，不过就快到了。
约瑟·斯密——历史1:41	他也引述了《约珥书》第二章的第二十八节到最后一节。他也说这个还没有应验，但是快了。他更进一步说，外邦人的完满的日子快要到了。他引述了许多其他的经节，也提供了许多我不能在这里说的解释。
约瑟·斯密——历史1:42	还有，他告诉我，我取得他说的那些页片后——因为获得页片的时间还没有到——我不可以给任何人看；有乌陵和土明的胸牌也不可以；只能给那些我被命令给他们看的人看；我如果给别人看，我就会被毁灭。他正跟我谈到页片的时候，异象在我脑海中打开，使我能看到那存放页片的地方，而且是如此清楚而明白，所以我到那里的时候，就认出那地方了。
